school,test_optional_or_no,applies_to_class_year_s,policy_details,number_of_applicants,accept_rate,sat_tot_25th_percentile,sat_tot_75th_percentile,act_composite_25th_percentile,act_composite_75th_percentile,sat_equiv_of_act_25th,sat_equiv_of_act_75th,sat_minus_sat_equiv_25th_perc,sat_minus_sat_equiv_75th_perc
University of California—Merced,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,25368,0.72,980,1180,17,22,930,1110,50,70
Mercer University,Yes,2021 2022 2023,Mercer University has adopted a three-year test optional policy. After Fall 2023 they will reevaluate.,5454,0.72,1180,1340,25,30,1210,1370,-30,-30
University of Dayton,Yes,2021,The University of Dayton has adopted a test-flexible policy for high school juniors applying for its fall 2021 entering class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,17462,0.72,1120,1320,23,29,1140,1340,-20,-20
Lewis & Clark College,Yes,All / Permanent Policy,Lewis and Clark offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Prior to the 2020-21 admission cycle students who chose not to submit standardized test scores had to submit an academic portfolio in lieu of scores. However students will no longer be required to submit a portfolio.,5863,0.722,1220,1400,27,31,1280,1400,-60,0
Hendrix College,Yes,All / Permanent Policy,Hendrix College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students who are native speakers of English are not eligible for test optional admission.,1545,0.722,1153,1390,26,32,1240,1430,-87,-40
University of Rhode Island,Yes,2021,University of Rhode Island has adopted a one-year test optional policy for applicants to the Spring and Fall 2021 semesters.,21259,0.723,1012,1345,20,29,1040,1340,-28,5
California State University--Chico,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,25908,0.723,990,1180,18,24,970,1180,20,0
Stetson University,Yes,All / Permanent Policy,Stetson University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13005,0.7240000000000001,1110,1300,22,29,1110,1340,0,-40
Quinnipiac University,Yes,All / Permanent Policy,Quinnipiac University offers a test optional policy which allows most students applying to the College of Arts and Sciences School of Business School of Communications and School of Engineering to be considered for admission without SAT or ACT scores. Homeschooled students and students playing a Division I sport must provide test scores.,22753,0.725,1090,1260,23,28,1140,1310,-50,-50
Duquesne University,Yes,All / Permanent Policy,Duquesne offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,7411,0.725,1130,1300,23,28,1140,1310,-10,-10
University of Illinois—​Chicago,Yes,2021,The University of Illinois-Chicago has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,22696,0.727,1030,1260,21,28,1080,1310,-50,-50
University of Akron,Yes,2021,The University of Akron has adopted a test optional policy for first year applicants both domestic and international in the 2020-21 admission cycle.,14553,0.73,990,1230,19,25,1010,1210,-20,20
St. John's University (NY),Yes,All / Permanent Policy,St. John's University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students some international students students applying for several specific majors and prospective student athletes are not eligible for test optional admission.,27276,0.731,1070,1270,23,29,1140,1340,-70,-70
University of Cincinnati,Yes,2021 2022,The University of Cincinnati has adopted a two-year test optional policy beginning with the 2020-2021 admission cycle. However standardized test scores are still required for admission into some programs.,23296,0.731,1160,1370,24,29,1180,1340,-20,30
Simmons University,Yes,2021,Simmons University State has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,2933,0.731,1110,1290,23,29,1140,1340,-30,-50
Wayne State University,Yes,2021,WSU has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,15716,0.731,1010,1230,21,27,1080,1280,-70,-50
Butler University,Yes,All / Permanent Policy,Butler University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants who major in Pre-Pharmacy Health Sciences and Healthcare and Business programs students who attend secondary schools that do not provide letter grades homeschooled students and transfer applicants who have completed fewer than 20 college credits are not eligible for test optional admission.,14891,0.732,1150,1330,24,30,1180,1370,-30,-40
Point Loma Nazarene University,Yes,2021,PLNU has adopted a one-year test optional policy for Fall 2021 applicants.,3277,0.737,1140,1310,24,29,1180,1340,-40,-30
University of North Texas,Yes*,2021,University of North Texas requires either the SAT or ACT. However they will waive this requirement for students with a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,21540,0.737,1060,1250,20,26,1040,1240,20,10
University of North Georgia,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,6498,0.737,1108,1273,22,27,1110,1280,-2,-7
Xavier University,Yes,All / Permanent Policy,Xavier University offers a test optional policy which allows students to be considered for admission without test scores. However homeschooled students are not eligible for test optional admission.,15100,0.738,1070,1250,22,28,1110,1310,-40,-60
Wheaton College (MA),Yes,All / Permanent Policy,Wheaton College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Wheaton encourages students whose first language is not English to submit their SAT or ACT scores along with the required English proficiency testing.,3460,0.7390000000000001,1150,1340,27,32,1280,1430,-130,-90
Eastern Michigan,Yes*,2021,Eastern Michigan University has adopted a one-year test optional policy for students with a 2.5+ GPA applying in the 2020-21 admission cycle.,14323,0.741,970,1190,19,25,1010,1210,-40,-20
University of Washington--Bothell,Yes,2021,The University of Washington--Bothell has adopted a one-year test optional policy for firstyear applicants both domestic and international in the 2020-21 admission cycle.,4242,0.741,1038,1250,19,28,1010,1310,28,-60
Adelphi University,Yes,2021,Adelphi University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,13006,0.742,1080,1270,22,27,1110,1280,-30,-10
Baldwin Wallace University,Yes,All / Permanent Policy,Baldwin Wallace University offers a test optional policy which allows students to be considered for admission without test scores. However home schooled students are not eligible for test optional admission.,3926,0.742,1030,1250,21,27,1080,1280,-50,-30
Michigan Technological University,Yes,2021,Michigan Technological University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However homeschooled students and students applying for merit scholarships must submit test scores.,5978,0.743,1170,1370,25,30,1210,1370,-40,0
Drexel University,Yes,2021,Drexel University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,31824,0.747,1190,1390,25,31,1210,1400,-20,-10
University of Redlands,Yes,All / Permanent Policy,University of Redlands offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,4713,0.75,1100,1250,23,28,1140,1310,-40,-60
Loyola University New Orleans,Yes (TB),All / Permanent Policy,Starting with the Fall 2021 application cycle Loyola will not require a standardized test score for its university admission application and will not consider a test score should a student choose to submit.,5857,0.75,1050,1260,22,28,1110,1310,-60,-50
California State University--Monterey Bay,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,12327,0.753,960,1170,17,23,930,1140,30,30
Whittier College,Yes*,All / Permanent Policy,Whittier College offers a test optional policy which allows students to be considered for admission without test scores. Students with a GPA below 3.0 may be asked to submit standardized test scores.,6220,0.759,1030,1213,20,25,1040,1210,-10,3
Kalamazoo College,Yes,All / Permanent Policy,Kalamazoo College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3576,0.76,1170,1370,25,31,1210,1400,-40,-30
Towson University,Yes,2021,Towson has adopted a one-year test optional policy for applicants for Fall 2021 admission.,12678,0.763,1060,1220,20,25,1040,1210,20,10
Centre College,Yes,2021 2022 2023,Centre College has adopted a three-year test optional policy for first year students beginning with the 2020-21 admission cycle. After a three-year pilot period Centre will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,2212,0.764,1130,1380,26,32,1240,1430,-110,-50
University of Texas San Antonio,Yes,2021,University of Texas San Antonio has adopted a one-year test optional policy for first-year applicants entering through Spring 2022. However it still recommends submitting test scores as this can affect scholarship eligibility and admission into certain colleges or majors that require the SAT/ACT.,17122,0.7659999999999999,1030,1220,19,25,1010,1210,20,10
James Madison University,Yes,All / Permanent Policy,James Madison University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,23578,0.768,1120,1290,23,28,1140,1310,-20,-20
Appalachian State University,Yes,2021,Appalachian State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,16664,0.768,1100,1270,22,28,1110,1310,-10,-40
Indiana University—​Bloomington,Yes,All / Permanent Policy,Indiana University--Bloomington offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who attend schools with nontraditional grading systems are not eligible for test optional admission.,44169,0.769,1150,1360,24,31,1180,1400,-30,-40
High Point University,Yes,All / Permanent Policy,High Point University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students seeking some merit scholarship or those who wish to be placed in the Honors Program need to submit test scores.,10098,0.769,1090,1250,22,27,1110,1280,-20,-30
Virginia Commonwealth University,Yes*,All / Permanent Policy,Virginia Commonwealth University requires either the SAT or ACT. However they will waive the requirement for students with a 3.3+ GPA. Applicants who wish to qualify for merit scholarships homeschooled applicants applicants to the VCU Honors College College of Engineering or School of Education and non-native English speakers are not eligible for TO. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,18622,0.7709999999999999,1070,1260,21,28,1080,1310,-10,-50
University of Arkansas—​Fayetteville,Yes*,2021,The University of Arkansas requires either the SAT or the ACT. Fall 2021 applicants may apply test-optional with a 3.2+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,17913,0.7709999999999999,1120,1300,23,30,1140,1370,-20,-70
John Brown University,Yes,2021,John Brown University has adopted a one-year test optional policy for students entering in Fall 2021.,1094,0.7709999999999999,1060,1365,23,30,1140,1370,-80,-5
University of Idaho,Yes,2021,University of Idaho has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,8071,0.778,1010,1240,20,27,1040,1280,-30,-40
University of Missouri,Yes,2021,Mizzou has adopted a one-year test optional policy for students applying to the Fall 2021 term.,18948,0.778,1090,1290,23,29,1140,1340,-50,-50
Willamette University,Yes,All / Permanent Policy,Willamette University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3972,0.779,1140,1340,31,35,1400,1540,-260,-200
University of Nebraska—​Lincoln,Yes*,All / Permanent Policy,The University of Nebraska-Lincoln requires either the SAT or the ACT. However it will waive this requriement for students with a 3.0+ GPA or who rank in the top half of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,16829,0.782,1120,1360,22,28,1110,1310,10,50
Carroll College,Yes*,All / Permanent Policy,Carroll College requires either the SAT or ACT however it will waive this requirement for students with a 3.0+ unweighted GPA. Students who are homeschooled wish to apply to Direct Entry Nursing or wish to participate in intercollegiate atheletics are not elligible for test optional admission. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2709,0.7829999999999999,1070,1270,22,28,1110,1310,-40,-40
College of Charleston,Yes,2021,The College of Charleston has adopted a one-year test optional policy for applicants in the 2020-21 admissions cycle. However home-schooled students are required to submit scores.,11783,0.7829999999999999,1080,1260,22,28,1110,1310,-30,-50
University of Colorado—​Boulder,Yes,2021,University of Colorado--Boulder has adopted a one-year test optional policy for first-year students applying in the 2020-21 admission cycle.,40740,0.784,1140,1350,25,31,1210,1400,-70,-50
Elon University,Yes,2021 2022 2023,Elon has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Elon will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,10500,0.784,1160,1320,25,30,1210,1370,-50,-50
Seattle University,Yes,All / Permanent Policy,Seattle University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled applicants are not elligible for test optional admission.,7968,0.785,1160,1330,24,30,1180,1370,-20,-40
University of Texas—​Dallas,Yes,2021,University of Texas-Dallas has adopted a test optional policy for students applying for the Summer and Fall 2021 terms.,14327,0.7859999999999999,1240,1460,26,33,1240,1460,0,0
East Carolina,Yes,2021,ECU has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,19234,0.787,1030,1190,19,24,1010,1180,20,10
University of Tennessee,Yes,2021,The University of Tennessee has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. However home-schooled students students attending a school not using alpha or numerical grades and student-athletes are not eligible for TO admission.,21764,0.7879999999999999,1150,1330,24,30,1180,1370,-30,-40
University of Texas Arlington,Yes,2021,University of Texas Arlington has adopted a one-year test optional policy for first-year applicants entering in the Fall of 2021.,12335,0.795,1060,1260,20,26,1040,1240,20,20
Pacific Lutheran University,Yes,All / Permanent Policy,Pacific Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants from schools with written evaluations rather than grades and homeschooled students are not eligible for test optional admission. Applicants to the nursing program students interested in teaching and international applicants strongly encouraged to submit scores.,3740,0.7979999999999999,1070,1270,20,28,1040,1310,30,-40
Western Michigan,Yes,2021,WMU has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,17698,0.799,1000,1210,19,26,1010,1240,-10,-30
Loyola University Maryland,Yes,All / Permanent Policy,Loyola University Maryland offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,10077,0.802,1143,1320,25,30,1210,1370,-67,-50
Miami University—​Oxford,Yes,2021,Miami University-Oxford has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,28920,0.804,1210,1410,26,31,1240,1400,-30,10
Goucher College,Yes,All / Permanent Policy,Goucher College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,3154,0.804,1040,1290,22,29,1110,1340,-70,-50
University of Oklahoma,Yes,2021,University of Oklahoma has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15673,0.804,1130,1310,23,29,1140,1340,-10,-30
Auburn University,Yes,2021,Auburn University has adopted a one-year test optional policy however students who choose not to submit ACT/SAT scores must submit a graded writing assignment an expanded resume or an AP/IB score report.,20205,0.807,1150,1320,25,31,1210,1400,-60,-80
University of Nevada—​Las Vegas,Yes*,All / Permanent Policy,UNLV requires either the SAT or ACT however they will waive the requirement for students with a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,12720,0.807,1030,1250,19,25,1010,1210,20,40
Boise State,Yes (TB),2021,Boise State has adopted a one-year test blind policy for students applying to the Spring and Fall 2021 semesters. However test scores are required for scholarship eligibility.,10788,0.8079999999999999,960,1180,21,26,1080,1240,-120,-60
St. Mary's College of California,Yes,All / Permanent Policy,St. Mary's offers a test optional policy which allows students to be considered for admission without test scores. However student-athletes homeschooled students and students attending schools that don't give grades must provide test scores.,6069,0.81,1070,1240,22,28,1110,1310,-40,-70
Siena College,Yes,All / Permanent Policy,Siena College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However applicants must meet certain academic requirements to apply test optional. Additionally applicants to select programs are not eligible for test optional admission.,7728,0.8109999999999999,1070,1280,22,28,1110,1310,-40,-30
University of North Dakota,Yes,2021,University of North Dakota has adopted a one-year test optional policy for first-year applicants both domestic and international entering through Fall 2022.,4964,0.8109999999999999,1010,1250,20,26,1040,1240,-30,10
Texas State University,Yes,2021,"Texas State University has adopted a one-year ""holistic review"" policy for applicants whose test dates have been affected by COVID-19 cancellations.",23583,0.8109999999999999,1010,1180,19,25,1010,1210,0,-30
Colorado State University,Yes,2021,Colorado State University has adopted a one-year test optional policy for first-year students applying in the 2020-21 admission cycle.,28319,0.8140000000000001,1070,1290,23,29,1140,1340,-70,-50
University of Memphis,Yes,2021,UM has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15381,0.8140000000000001,1010,1230,19,26,1010,1240,0,-10
West Virginia University,Yes,2021,WVU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18639,0.816,1050,1240,21,27,1080,1280,-30,-40
University of Oregon,Yes,All / Permanent Policy,The University of Oregon offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants from nonaccredited schools and homeschooled students are not eligible for test optional admission and must submit two Subject Tests: Math I or II and a second one.,27358,0.816,1100,1310,22,28,1110,1310,-10,0
University of St. Thomas (MN),Yes,All / Permanent Policy,The University of St. Thomas offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6819,0.8190000000000001,1130,1380,24,29,1180,1340,-50,40
St. Mary's College (IN),Yes,All / Permanent Policy,Saint Mary's College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,1862,0.8190000000000001,1050,1260,22,28,1110,1310,-60,-50
Illinois State,Yes,All / Permanent Policy,Illinois State offers a test optional policy which allows students to be considered for admission without standardized test scores.,16151,0.8190000000000001,1020,1220,20,26,1040,1240,-20,-20
Ohio University,Yes,All / Permanent Policy,Ohio University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,24179,0.821,1050,1260,21,26,1080,1240,-30,20
California State University--Sacramento,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,27576,0.823,940,1140,16,22,890,1110,50,30
University of North Carolina—​Greensboro,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,9972,0.8240000000000001,1000,1160,19,24,1010,1180,-10,-20
University of Iowa,Yes,2021,University of Iowa has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,25928,0.826,1130,1340,22,29,1110,1340,20,0
St. Michael's College,Yes,All / Permanent Policy,St. Michael's College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled applicants are not eligible for test optional admission.,4040,0.826,1140,1320,25,29,1210,1340,-70,-20
University of Alaska Anchorage,Yes,All / Permanent Policy,University of Alaska Anchorage offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3673,0.83,1020,1220,17,24,930,1180,90,40
Marquette University,Yes,All / Permanent Policy,Marquette University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores to both domestic and international applicants.,15078,0.83,1120,1320,24,29,1180,1340,-60,-20
College of St. Benedict,Yes,All / Permanent Policy,The College of Saint Benedict offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students students who attend schools with nontraditional grading systems and applicants to the Nursing Early Admission Program are not eligible for test optional admission.,1931,0.8340000000000001,990,1210,22,27,1110,1280,-120,-70
Oregon State University,Yes,All / Permanent Policy,Oregon State University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,15786,0.836,1080,1320,21,28,1080,1310,0,10
The Catholic University of America,Yes (TB),All / Permanent Policy,The Catholic University of America has adopted a test blind policy which means they will not consider SAT or ACT scores for admission.,6096,0.8370000000000001,1140,1320,24,30,1180,1370,-40,-50
University of Puget Sound,Yes,All / Permanent Policy,Puget Sound offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who attend secondary schools that do not provide letter grades and homeschooled students are not eligible for test optional admission.,5182,0.838,1150,1370,25,30,1210,1370,-60,0
University of New Hampshire,Yes,All / Permanent Policy,The University of New Hampshire offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However all Division 1 athletic recruits are required to submit standardized test scores.,18040,0.84,1070,1270,22,28,1110,1310,-40,-40
Missouri University of Science & Technology,Yes,2021,Missouri S&T has adopted a one-year test optional policy for students applying to the Fall 2021 term. Students who apply without test scores will be required to submit additional information.,4333,0.8420000000000001,1180,1380,25,31,1210,1400,-30,-20
St. Mary's College of Maryland,Yes,All / Permanent Policy,Saint Mary's College of Maryland has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled applicants and applicants with non-traditional academic transcripts are not eligible for test optional admission.,1621,0.843,1060,1290,21,29,1080,1340,-20,-50
University of Arizona,Yes,All / Permanent Policy,University of Arizona offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the UA Honors College the College of Fine Arts the College of Nursing the College of Architecture Planning and Landscape Architecture and College of Engineering and homeschooled students are not eligible for test optional admission.,40854,0.846,1120,1350,21,29,1080,1340,40,10
Susquehanna University,Yes,All / Permanent Policy,Susquehanna University offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,4863,0.848,1100,1290,22,28,1110,1310,-10,-20
Arizona State University—​Tempe,Yes*,All / Permanent Policy,ASU requires either the SAT or ACT however it will waive this requirement for students with a 3.0+ GPA or who rank in the top 25% of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,26869,0.848,1130,1360,22,29,1110,1340,20,20
Wheaton College (IL),Yes,2021,Wheaton has adopted a one-year test optional policy for students applying in the 2020-21 admissions cycle.,1889,0.848,1220,1440,26,32,1240,1430,-20,10
Northern Arizona,Yes,All / Permanent Policy,Northern Arizona University offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores. However scores required to receive merit-based scholarships.,36855,0.85,1030,1230,19,25,1010,1210,20,20
Washington and Jefferson College,Yes,All / Permanent Policy,Washington and Jefferson College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,2722,0.852,1090,1280,22,28,1110,1310,-20,-30
Kent State,Yes,All / Permanent Policy,Kent State requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,16308,0.855,1040,1230,20,26,1040,1240,0,-10
Mills College,Yes,All / Permanent Policy,Mills College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who graduate from schools without traditional grades are not eligible for test optional admission.,1003,0.855,1008,1240,21,29,1080,1340,-72,-100
Hope College,Yes,2021,Hope College has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However students who wish to be considered for merit scholarships must submit test scores.,3748,0.857,1130,1330,23,31,1140,1400,-10,-70
Valparaiso University,Yes,2021 2022,Valparaiso has adopted a two-year test optional policy. They will reevaluate their policy after the 2022 admission cycle.,5491,0.858,1070,1290,22,29,1110,1340,-40,-50
George Mason University,Yes,All / Permanent Policy,George Mason University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who major in computer science and engineering majors home-schooled applicants and students seeking to become a member of one of George Mason’s NCAA intercollegiate athletics teams are not eligible for test optional admission. The Volgenau School of Engineering entering classes of 2020 and 2021 are exempt from the 550 SAT Math/24 ACT Math requirement.,19554,0.867,1110,1320,24,30,1180,1370,-70,-50
Old Dominion,Yes,All / Permanent Policy,ODU offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13335,0.87,990,1200,18,24,970,1180,20,20
Missouri State,Yes*,2021,Missouri State University requires either the SAT or ACT however it will waive the requirement for students with a 3.25+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,7581,0.879,1040,1240,21,27,1080,1280,-40,-40
University of Wisconsin Milwaukee,Yes,2021,The University of Wisconsin--Milwaukee has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,8280,0.885,1000,1398,20,25,1040,1210,-40,188
Transylvania University,Yes,All / Permanent Policy,Transylvania University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However test optional applicants are strongly encouraged to visit the Transylvania campus for an in-depth interview.,1702,0.887,1100,1310,24,30,1180,1370,-80,-60
University of Maine,Yes,2021 2022,University of Maine has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period UM will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,13118,0.902,1050,1260,21,27,1080,1280,-30,-20
Humboldt State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,16335,0.909,980,1190,17,25,930,1210,50,-20
Utah State,Yes,2021,Utah State has adopted a one-year test optional policy for students applying to enroll in the 2021 terms.,15276,0.91,1050,1310,21,28,1080,1310,-30,0
Iowa State University,Yes,2021,Iowa State University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18246,0.9209999999999999,1100,1340,22,28,1110,1310,-10,30
Washington College,Yes,All / Permanent Policy,Ursinus College has a test-optional policy which allows students to be considered for admissions without submitting SAT or ACT scores. However homeschooled applicants and internantional applicants are not eligible for test optional admission.,2225,0.924,1090,1300,20,29,1040,1340,50,-40
University of Montana,Yes,2021,University of Montana has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6182,0.9259999999999999,1060,1270,21,26,1080,1240,-20,30
Samford University,Yes,2021,Samford University has adopted a one-year test optional policy for students applying to the Fall 2021 semester.,3912,0.929,1070,1250,23,29,1140,1340,-70,-90
University of Kentucky,Yes,2021,The University of Kentucky has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,19324,0.945,1080,1300,23,29,1140,1340,-60,-40
University of Toledo,Yes,All / Permanent Policy,University of Toledo offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students whose high schools do not provide grades are not eligible for test optional admission.,10228,0.951,1000,1240,20,26,1040,1240,-40,0
Portland State,Yes,All / Permanent Policy,Portland State offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who attended homeschool or a non-accredited non-standard high school are required to submit test scores.,7821,0.961,1010,1230,18,25,970,1210,40,20
Queens University of Charlotte,Yes,All / Permanent Policy,Queens University of Charlotte offers a test optional policy which allows students to be considered for admission without SAT or ACT scores though they encourage applicants to submit scores.,2319,0.9620000000000001,1040,1240,21,27,1080,1280,-40,-40
Western Kentucky,Yes*,All / Permanent Policy,WKU offers a test optional policy for students with a 2.5+ GPA.,8245,0.973,990,1220,19,27,1010,1280,-20,-60
United States Naval Academy,No,,USNA requires either the SAT or ACT. It does not require the optional SAT essay or ACT Writing Test. Subject Tests are not required.,16332,0.083,1240,1520,27,32,1280,1430,-40,90
United States Military Academy,No,,The US Military Academy requires either the SAT with Essay or ACT with Writing. Subject Tests are not required.,11675,0.10300000000000001,1160,1380,25,30,1210,1370,-50,10
United States Air Force Academy,No,,The United States Air Force Academy requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,10354,0.111,1230,1440,28,33,1310,1460,-80,-20
United States Coast Guard Academy,No,,The United States Coast Guard Academy requires either the SAT with Essay or ACT with Writing. Subject Tests are not required.,2274,0.128,1245,1420,26,31,1240,1400,5,20
United States Merchant Maritime Academy,No,,USMMA requires either the SAT or ACT. It does not require the optional SAT essay or ACT Writing Test. Subject Tests are not required.,1693,0.248,1200,1340,25,31,1210,1400,-10,-60
Howard University,No,,Howard University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,20946,0.316,1140,1285,22,27,1110,1280,30,5
Florida State University,No,,Florida State University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,58936,0.36,1200,1340,26,30,1240,1370,-40,-30
Hillsdale College,No,,Hillsdale College requires either the SAT the ACT or the CLT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2208,0.36,1275,1465,29,32,1340,1430,-65,35
University of Central Florida,No,,University of Central Florida requires either the SAT or ACT. It does not require the SAT Essay or ACT Writing Test. Subject Tests are not required.,35240,0.382,1160,1340,25,29,1210,1340,-50,0
University of Florida,No,,The University of Florida requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,38905,0.38799999999999996,1280,1440,27,32,1280,1430,0,10
University of South Florida,No,,University of South Florida requries either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not considered.,36986,0.47700000000000004,1170,1330,25,29,1210,1340,-40,-10
Gallaudet University,No,,Gallaudet University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,496,0.5710000000000001,793,1078,15,20,850,1040,-57,38
Florida International,No,,Florida International University requires either the SAT or ACT. It does not require the SAT Essay or ACT Writing Test. It does not consider SAT Subject Test scores.,18492,0.575,1240,1300,23,28,1140,1310,100,-10
Morehouse College,No,,Morehouse College requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,3554,0.579,1010,1210,20,25,1040,1210,-30,0
